address,powerVoting
"0x00000000000aa70247d5dd0082e93454da30fa21","0.000000000000000029"
"0x0000000000aa77b9b6b3527a4674eb5a1278de6b","0.000000000000000022"
"0x0016812ad22e79ca1b5f0c3c2a3365749426ef9b","100"
"0x001efcdd8b2a94afb551cb7d770b280ecb589e86","276.029820974419721643"
"0x001fa27dc6d11f84642e5a9e205481e41767ba52","5"
"0x0027421f6d7de989d98e3808bf678eb2f7aa4029","1"
"0x002dbd14fbce6ea8261c08f9f5aa49e7ea2dad65","100"
"0x002e94f80db915dd3e93ca30bc06b562f2a67816","103"
"0x0045d3cd67a08ff7ac13ecc8c6870b8a34e228a5","127"
"0x004737ef4d9570398b57a5f8827b51e6e986ebe2","100"
"0x004ea13e5424630c5f6d8e5af31aab819a88e1b5","100"
"0x004f08e7dc8c0896f1f91ce5a742330d025b55f3","108"
"0x00590e61958bb72b0705151572d844cf5d7973ef","100"
"0x006b4b6d9cc16a182e6b0da829e7c2ed2552922f","100"
"0x00700052c0608f670705380a4900e0a8080010cc","0.553582690879015321"
"0x00783eb176f3ae0148dd0b6d65a006f625ec3861","102"
"0x007ad63a0afd5b765d293c1de66fab979f7abc48","100"
"0x00872bdd066614bb58367d736ae5a4721f53b875","100"
"0x008758d9ec88e54ac656b20a93086e0728daa645","100"
"0x008cb9853ea5ab698df57dc76bba508c42e64b0b","100"
"0x009c93db70e882293feed501a07ec6c00a131938","100"
"0x009df7259a55278f100b2bae89f4bd2cc4e7d0d4","110"
"0x00acbb92ef42538f7d8f514afd0d840490d9f7e5","204"
"0x00adfffb1c591bd9860579cc82a00dbb87ae83ba","101"
"0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd","162"
"0x00c600b30fb0400701010f4b080409018b9006e0","0.000000000000000002"
"0x00cb1ad97290cbf192f140d616d926b251bac0c3","303"
"0x00cf9bbe876efb54c7df949890e4e592edbca1c9","100"
"0x00db170287aaa8a93b08cda808af76d11a5f0fff","101"
"0x00db71cedeee9dc680d2c82e13a9ffdcf0874933","0.094834272045147327"
"0x00ded1af77056e4e390126b89b4c2a0e153d611a","50.942191081137153299"
"0x00ec13aa82e226011f8a3513d6f2028a2835efb1","100"
"0x00ed64356972814db799cfd84d8d67312e188211","100"
"0x00f982f4d1509eb7ecea74c82d163df5e3b8daab","100"
"0x0105c82e287f156c97d149c431c9b6dbf20d3979","100"
"0x012662215992e3c864ba138a67ffe540c64c35ce","5.73198576492678598375"
"0x012bbca7fb1118337d85fcef9c14e2fc844619f2","100"
"0x012e4b44a367996ad6659e1055a1c21a8fdfa150","100"
"0x0143bd6dbad0e781be9ef14e320561abfbe9fd26","1"
"0x0144941a655c9cea124d90d60a2805c5fb3a6cf7","100"
"0x01494eeadcd3fa72630ba5d1d91bbd0b02a2ff56","377.123083114819725543"
"0x01528fbf22de5cee9019447199090de0c684f580","1"
"0x015adfcc3b9fc4509e8837e3227d2d60e9072767","100"
"0x0167767e7ffabd6e9fe1f958535bf296622d4b21","100"
"0x017dd2af619d2da6264710735b85e87cd78c4fe8","2"
"0x01832e13a98f2c03d3b6568b97f734a163a80b6b","100"
"0x018cab73a80baadd582fe1857d1447d8a46dc6f4","100"
"0x01962b55ea914fb7f01cdb02f917e6a28fe1dc79","100"
"0x019f750e5769460c2d27c4ba19ba3e6c6afef14d","102"
"0x01a935e5abc530f4c9c1871a226019981d79b37d","100"
"0x01b1767ca4e97cb44845400b39043c6e352d31d9","105"
"0x01e0953d092b952b54fbf9edc3bf78343a774dc5","100"
"0x01e0b228df923fe9b5e9cffc864905e810dfcfaf","101"
"0x01e81db61d2461d0e286ead08855c987f7e882bd","100"
"0x01f8f82443a07fac8c99c637c358fa5f4b419041","100.829748581473576715"
"0x0203be9742bfe685d1ea4225830bc5f7f48b6f17","100"
"0x0206ea10c21fc07161ab95a61663f783e0d588da","100"
"0x020a8cdc44162820ce81eb1ab2217eef1670d826","1"
"0x020de69c09124e2849be08bb745b6dac8b885cd7","100"
"0x0219f20179f99bfd0f2afa50b376fa579d8b0ff4","100"
"0x021ad5f264c94fee6fa1527c286213ed48b140f9","100"
"0x0224634d81c0234805f2c30910b468f64d0e5844","100"
"0x0236ab1dc08445dcdd383db7a3f13e4b3faf6890","100"
"0x023b483840ea602152e3649f24cf3eb365a6bd12","250"
"0x02481d5116dfeb01963f984c9ed924daaee7d8e8","100"
"0x024dfc10522b7178e11dc15a19e536cd23b4c853","101"
"0x0255c9d3850caca1152aeb20425c264787661692","104"
"0x025919c9cb256573e8c5ca8fb74759e5e26a1940","1"
"0x0263eeb6f23227ad8739a445560fc826b5aae2fa","100"
"0x026b98bdc3740268a2d0d4c5e5d76007faa9d13c","102"
"0x026c87e4b15482258a2b71a1b0a960ab3099d218","100"
"0x0276996fdd754ca1b043e72c760f4f2b8c034595","100"
"0x02789c0eade9166acad74c3bcafa6e18e881e460","100"
"0x027939a7e28873cb74e670efeafe1d40646bc380","141.975762259064586271"
"0x02813bd137457b7a9781376af76db85d4a4b17ba","145"
"0x02835656eea38f5b83472391f6a138d6c922b515","100"
"0x0289dbebec88e4aecbadfc6099072e79f587cab6","100"
"0x028b89a9542ce29c225d4890e4831503a533da97","6"
"0x028e032973f9d12f73f25ddedc9619146e186619","100"
